#;Timestamp;Gateway;rssi
1;16:58:24.974 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-114
2;16:58:08.992 09/05/2018;7076FFFFFE018E4B ARBA005 Econonicas;-108
3;16:58:08.708 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-110
4;16:57:20.795 09/05/2018;7076FFFFFE018E4B ARBA005 Econonicas;-102
5;16:57:06.362 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-114
6;16:56:49.477 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-117
7;16:53:37.497 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-119
8;16:49:06.316 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-111
9;16:48:35.226 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-116
10;16:48:20.166 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-114
11;16:47:48.527 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-122
12;16:47:32.028 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-118
13;16:47:15.741 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-114
14;16:46:59.164 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-109
15;16:46:42.284 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-109
16;16:46:28.605 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-113
17;16:46:15.155 09/05/2018;7076FFFFFE018E4B ARBA005 Econonicas;-94
18;16:46:14.982 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-113
19;16:46:01.379 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-111
20;16:45:44.717 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-110
21;16:45:29.002 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
22;16:45:13.640 09/05/2018;7076FFFFFE0188D7 ARBA009 UNLP;-105
